LRRRLRRLLLRRRLRLRRLRRRLRLRRRLLLRRLRRLRRRLRRRLRLLRLRRLRRLLRRLRLRRRLRRLRRLRRLLRRRLRLRLRLRLLRRLLLRRLRLRRLRLLLLRRLRRRLRRLRRRLLRRRLRRLRRRLRLLRLRRLRRLLRRRLLLRLRRRLLLRRLLRRRLLRRLRRLRRLRLRRRLLRRRLRLLRLRRLLRLRRLRLLRLRRLRRRLLRRLLRRRLRRLRLRLRRRLRLRRRLRRRLRRLRRRLRLLRRRLLRRRR

FLR = (SXT, CRV)
GGD = (PBC, RXJ)
DTB = (QKX, HFC)
NQL = (JKJ, NJM)
DQF = (NXK, TTH)
QXJ = (DTN, FNF)
BGS = (PFQ, FXV)
FQP = (GPQ, VTM)
DPT = (HMK, LCR)
PHK = (DNF, GHV)
STQ = (FCN, NNS)
LCL = (XHP, LQK)
QJP = (FJN, CCV)
GJD = (BCQ, VBR)
GMR = (BJX, XNH)
JKT = (VTR, QKB)
RTT = (PRV, LNL)
LNL = (NPR, MBC)
DRD = (JRH, KVD)
SHR = (NXG, GXQ)
RXK = (LFQ, QSK)
VBR = (LSF, VDJ)
BKT = (VHQ, KPD)
QJV = (CMS, KDT)
CPH = (NRQ, SXL)
CSM = (QRN, KSC)
KLV = (GMC, TPG)
HDR = (RQJ, QKL)
TNX = (DHR, TNR)
VHQ = (CXX, CVL)
FCX = (FNK, TPR)
MBP = (BPV, NNB)
KKH = (BNK, BNK)
LQQ = (QKX, HFC)
QKL = (SDQ, VXF)
BKP = (PCS, MHT)
JTB = (BRS, XXS)
HRL = (HTC, FSM)
FXV = (SNX, THX)
TNR = (PVQ, KSF)
GLG = (TXQ, HSH)
PGV = (RFM, SCP)
FLM = (TPR, FNK)
JHX = (QSF, NRR)
PVC = (JPM, BLF)
GML = (VKS, CPT)
PDD = (PGV, GNB)
FMQ = (NGD, RMT)
XNG = (XMC, GVV)
LNH = (PBB, PBB)
XFN = (HTK, HTK)
LFT = (VCL, QVT)
DVS = (RGV, PMX)
VGL = (XBL, TQB)
MNV = (JRH, KVD)
LTB = (XXT, CPL)
NKN = (XKF, FQX)
FQX = (RDJ, CNR)
BJJ = (HFR, KBJ)
CFM = (JMP, XCV)
FQT = (HMP, SPQ)
PLT = (XBL, TQB)
QSN = (GQL, MXH)
HKV = (JBG, JHH)
LLC = (SHG, NLV)
SXT = (QPN, TFS)
MBD = (HFD, VCZ)
HMP = (CJN, SGC)
KBF = (LML, QVC)
HNC = (RFH, CSM)
JMP = (FXR, RVX)
JSX = (CNF, XKM)
VCZ = (QKG, JRL)
CSQ = (BFQ, RNJ)
GMP = (XKQ, HCL)
GLM = (PTM, CBH)
VPT = (BGT, BPH)
RJR = (FMQ, FNX)
KQT = (XJC, FJF)
NNS = (FLR, CBM)
VKV = (KNP, NSF)
NCV = (QFS, STN)
XCT = (LFJ, QJP)
VJK = (BKB, XJM)
FNF = (LNH, JNJ)
JHG = (VSK, MML)
HLJ = (VRV, CFX)
GRM = (XVH, NTQ)
FCK = (BDQ, GQS)
DRS = (CMS, KDT)
DVK = (SRC, VJK)
PDP = (QXJ, BSF)
THX = (FGM, XVD)
DNF = (QHB, CDM)
GKH = (HXK, RDS)
RFS = (HKK, DXR)
GKP = (GTL, MBV)
MXH = (BLG, CLM)
PQQ = (JJG, GDC)
RKC = (BCH, XLF)
QVG = (XHX, MRK)
DGC = (PNS, JTB)
HTC = (RSF, TTS)
FDV = (FQX, XKF)
CNF = (XGP, BNN)
HJL = (QJR, RJH)
QNN = (GHS, XBM)
BPV = (GGQ, GQJ)
SVD = (FCN, NNS)
XKF = (RDJ, CNR)
XSR = (LKM, PTB)
VTR = (SSL, DQS)
DPG = (LFV, TLP)
XTC = (BKT, XDX)
QFS = (FRQ, XPV)
RDJ = (CJT, MKS)
CXR = (NDC, HMV)
LML = (GLB, RSM)
NKG = (LBK, MSS)
CLD = (XXB, VTK)
VXF = (NQS, JFR)
MCN = (PQS, XHL)
GQD = (DVR, JQD)
FTZ = (GVV, XMC)
SNV = (SNT, CPH)
NCN = (XTN, GVS)
QKB = (DQS, SSL)
GSV = (HHV, HFP)
LCH = (GHV, DNF)
KBJ = (DSM, MQD)
FRQ = (KHF, BNG)
BFQ = (QNV, GRM)
HSJ = (SVR, RPX)
XSM = (SHJ, VMR)
VDX = (XNG, XNG)
HCL = (MJQ, JML)
NJH = (NDP, VTX)
LCX = (LCL, TFF)
VNX = (LDQ, GGD)
HPT = (QVG, GMG)
NSR = (GDR, BDB)
XRH = (SRC, VJK)
CPL = (VMC, QPR)
XHD = (KRK, QSH)
GGQ = (PQC, RVF)
LSF = (GHQ, HCM)
XHL = (SMQ, FGF)
HXK = (NTH, FMH)
VNV = (BPH, BGT)
MHX = (VMP, VMP)
MST = (HVL, PLQ)
JHR = (XXP, CKD)
FMB = (SRD, LCB)
FTJ = (XHS, SQF)
VTX = (MRS, GRS)
CXX = (HDG, KQT)
SFN = (LJS, PPL)
STT = (JTP, VDK)
RVK = (MFT, CLD)
XJM = (PVC, KHT)
PMX = (KNM, BTG)
NFP = (QSL, GBP)
HRR = (RJH, QJR)
VRV = (CLR, CKQ)
MSS = (XCT, LPP)
KHF = (PJQ, SBX)
SJH = (BLH, MDV)
BNK = (VVF, VVF)
FFH = (KMD, TSC)
LFJ = (FJN, CCV)
TFD = (FPF, BBS)
CJN = (LPC, VHP)
TFB = (HGL, KBQ)
TNQ = (KNF, MGF)
NLV = (KTF, RVK)
CBM = (CRV, SXT)
NTQ = (DFC, RTT)
DSM = (RFS, FBN)
DLF = (QXC, GCJ)
XXN = (XLF, BCH)
TFV = (DVV, PDD)
TKJ = (DNV, HXP)
JGM = (QCX, SMG)
HRP = (MMK, DDN)
FRT = (LFL, BDS)
CLR = (STS, SRN)
NQS = (GSV, MJB)
CQH = (GQD, CNM)
PPL = (JGT, HKV)
PVS = (HJF, DDB)
LJC = (JHX, RHL)
MGM = (PHS, LLC)
VJH = (PLQ, HVL)
LDC = (SLN, XFQ)
TQB = (VLN, CSQ)
BLF = (QNQ, RNK)
HPG = (VSK, MML)
BTG = (FNL, HMQ)
CRH = (GHH, SNV)
DML = (DVV, PDD)
QPG = (VVF, CLZ)
RSF = (QSN, DDV)
DNV = (FRK, KCB)
CVN = (DQV, XHD)
TCH = (DLB, GLM)
LJM = (GBP, QSL)
QMF = (GKV, HLN)
PTJ = (NLH, FCF)
KKP = (QXC, GCJ)
RHL = (NRR, QSF)
PGT = (JMN, JFS)
PTC = (DMC, FGH)
BRS = (DRP, PSG)
VHP = (LHN, QXS)
GKV = (NSJ, BNJ)
MNL = (SGN, TTC)
FSD = (VPX, GLN)
RMR = (RKP, SCK)
MDV = (DML, TFV)
VFQ = (VRP, RLP)
XBL = (VLN, CSQ)
NMD = (RKC, XXN)
MJQ = (FHX, JPL)
DPN = (PDP, SCV)
XNH = (NKN, FDV)
NDP = (MRS, GRS)
KPD = (CVL, CXX)
DFC = (PRV, LNL)
KBQ = (LQT, LNC)
NXG = (TGJ, XDD)
XRV = (VBR, BCQ)
JDM = (VDX, KFV)
QHB = (FSD, PML)
GDR = (BPQ, SBC)
SDQ = (NQS, JFR)
VJM = (VTX, NDP)
QLT = (VMR, SHJ)
STN = (XPV, FRQ)
AAA = (LBH, SJH)
MJJ = (HDR, SGK)
STS = (LQC, KLQ)
CFQ = (BNQ, KXD)
PML = (GLN, VPX)
KLC = (PXL, LFT)
PLQ = (HBP, PQQ)
NLH = (LHJ, LXM)
DVV = (GNB, PGV)
TGL = (PKM, SXB)
MRS = (NKG, GMD)
HMQ = (NCN, KDB)
TBN = (FPL, LCX)
HNP = (XRV, GJD)
DGD = (DMC, FGH)
PTB = (PDF, GDT)
TCS = (BGS, KTD)
QRN = (RTJ, XSK)
DDN = (XMP, HDV)
PJM = (MJJ, GTK)
NND = (QCX, SMG)
LTD = (GLM, DLB)
DDL = (VXB, JJC)
HCM = (VBB, RCB)
GQJ = (PQC, RVF)
MGF = (DPN, LVV)
LXT = (DCG, HPV)
BXC = (KKP, DLF)
HPK = (QVC, LML)
JBC = (FCT, JMQ)
JGT = (JBG, JHH)
BJX = (FDV, NKN)
KSF = (SHR, VRC)
JJG = (QLT, XSM)
GBP = (SNC, BSK)
GJB = (FPL, LCX)
LJS = (HKV, JGT)
LQT = (QQB, HPB)
GGT = (HNP, SJN)
KLH = (GQD, CNM)
KSC = (RTJ, XSK)
SXL = (HLJ, CMB)
BBT = (PHS, LLC)
MXV = (LFV, TLP)
GQS = (TLJ, BNT)
PSF = (XRH, DVK)
KTC = (RFH, CSM)
HSH = (NJN, HRL)
HGG = (HPK, KBF)
PKD = (LJM, NFP)
HFC = (GKP, TKQ)
VLA = (QMF, VTN)
JKJ = (MNF, QHM)
FQJ = (GBJ, CHX)
JPM = (QNQ, RNK)
MMP = (GCK, XLT)
NNB = (GGQ, GQJ)
QMK = (QKB, VTR)
FRM = (KNF, MGF)
GPK = (GVF, SFR)
GTK = (HDR, SGK)
VCP = (KLH, CQH)
CPT = (QJV, DRS)
BPH = (MKM, GGT)
GRS = (NKG, GMD)
LTF = (HSH, TXQ)
SJQ = (XXT, CPL)
DGB = (TFB, RXH)
XMC = (KLM, SXX)
SRC = (BKB, XJM)
VTD = (MRN, NPH)
SSL = (TBV, GMP)
QVS = (NMR, JBC)
KLQ = (FQJ, CHN)
XDM = (PTJ, PHF)
JQD = (CFN, JTS)
BDB = (BPQ, SBC)
XKM = (XGP, BNN)
GQL = (CLM, BLG)
JTP = (HRP, LLP)
NMR = (FCT, JMQ)
RFR = (XXN, RKC)
XPT = (TCH, LTD)
TTS = (DDV, QSN)
LNC = (HPB, QQB)
NJN = (FSM, HTC)
FLD = (KRB, SSG)
KNF = (DPN, LVV)
BMJ = (LFQ, QSK)
GLB = (MMH, TCS)
XDD = (CJF, NSR)
MXK = (CPT, VKS)
DCL = (FNS, FFH)
PBC = (MHX, MHX)
RFM = (LTB, SJQ)
KLM = (DCK, CFM)
XVD = (RDM, QQJ)
RDS = (NTH, FMH)
RVF = (SKV, LQL)
BLG = (QVS, HTM)
CNR = (CJT, MKS)
LFQ = (HNC, KTC)
FPR = (SCK, RKP)
LQK = (CDR, XSR)
QVC = (RSM, GLB)
DDB = (HSJ, QQT)
SQV = (QMF, VTN)
HDG = (XJC, FJF)
LCR = (CTP, TGK)
JTZ = (NGB, NNC)
FSM = (RSF, TTS)
BSK = (BKP, XDT)
GHS = (LCH, PHK)
SRL = (FTJ, BRR)
BNN = (NJH, VJM)
PNS = (XXS, BRS)
PJA = (XMC, GVV)
XXF = (FDC, VNX)
JMN = (FPR, RMR)
GHH = (CPH, SNT)
QXS = (LXT, NVN)
BKD = (KXD, BNQ)
MKS = (LFB, CVN)
XKQ = (MJQ, JML)
PJQ = (TQP, LVB)
QPR = (GKH, MCL)
MFH = (SQV, GKZ)
SBC = (BMK, MNL)
THJ = (MQL, KXM)
XHP = (XSR, CDR)
HDV = (QLH, PSF)
RSL = (VDX, VDX)
MMH = (KTD, BGS)
HVL = (HBP, PQQ)
FGF = (BBT, MGM)
RRH = (NNB, BPV)
NHL = (GMC, TPG)
NNC = (PQN, XTC)
KPP = (XFN, VHG)
VTM = (HGG, CTC)
XDX = (VHQ, KPD)
SPQ = (CJN, SGC)
GDC = (XSM, QLT)
QQJ = (KBG, NFS)
MML = (TBN, GJB)
QFQ = (FBP, THJ)
VVF = (FMR, TKJ)
JJQ = (KLV, NHL)
PHQ = (BXC, LXD)
KNM = (FNL, HMQ)
GCK = (PQR, XXF)
DSX = (KBJ, HFR)
TKQ = (MBV, GTL)
JNJ = (PBB, TDH)
CVL = (KQT, HDG)
SHJ = (QBN, VKV)
NNT = (PNS, JTB)
CRV = (QPN, TFS)
PBB = (LMN, LMN)
GDT = (BJJ, DSX)
FGM = (QQJ, RDM)
BLH = (DML, TFV)
FMR = (DNV, HXP)
FPF = (VJH, MST)
KXM = (BJL, PJM)
FCT = (BMJ, RXK)
FLB = (MXV, DPG)
SXB = (HRR, HJL)
CMF = (JRP, LDC)
HKK = (KRJ, GMR)
TSC = (TPH, JHR)
QKG = (XDM, TLX)
QVT = (DTB, LQQ)
SHG = (KTF, RVK)
GMD = (MSS, LBK)
NXV = (PMX, RGV)
KRB = (FTT, FLB)
CTC = (KBF, HPK)
DTN = (LNH, LNH)
DXM = (GSX, FQP)
LBH = (BLH, MDV)
FGT = (HLG, XPT)
QPN = (XSH, JJQ)
DQV = (KRK, QSH)
LMN = (LBH, SJH)
SGJ = (HMV, NDC)
LPJ = (XDV, SFN)
MHT = (RRH, MBP)
TFS = (JJQ, XSH)
QLM = (PTC, DGD)
GSK = (HLG, XPT)
LXM = (VCP, MJD)
GLP = (XFN, XFN)
BBS = (MST, VJH)
SVR = (MCS, LQG)
NPH = (FGL, GQH)
NVN = (DCG, HPV)
VSA = (FMR, TKJ)
MCS = (TNQ, FRM)
JSD = (JJC, VXB)
QQT = (SVR, RPX)
CNL = (MRN, NPH)
HTK = (SQV, SQV)
JMK = (VDK, JTP)
VMC = (GKH, MCL)
RCB = (MVD, VFQ)
LHN = (LXT, NVN)
RXJ = (MHX, KMF)
VMR = (QBN, VKV)
DVR = (JTS, CFN)
XXP = (TTD, RGK)
BKK = (GQS, BDQ)
CCV = (DRD, MNV)
GPQ = (CTC, HGG)
SBX = (TQP, LVB)
SQF = (XFX, DGB)
SGN = (GPK, DBD)
LPT = (XKM, CNF)
CFN = (KVS, FRT)
NVX = (STN, QFS)
KRJ = (XNH, BJX)
VRP = (TGL, JNB)
LLP = (DDN, MMK)
NBQ = (FCX, FLM)
DFN = (JKJ, NJM)
RPX = (MCS, LQG)
QJR = (MCR, MMP)
CNJ = (LFX, TNX)
GVV = (SXX, KLM)
MFT = (VTK, XXB)
QKA = (JRL, QKG)
SNX = (FGM, XVD)
JTS = (KVS, FRT)
XPP = (LKN, STB)
XSK = (LXN, NBQ)
CPA = (NNC, NGB)
MBC = (RPR, DCL)
CTP = (NND, JGM)
MRN = (FGL, GQH)
CDM = (PML, FSD)
LKM = (GDT, PDF)
TQP = (FQT, KHM)
RTJ = (LXN, NBQ)
CDR = (LKM, PTB)
HHV = (CNL, VTD)
QSK = (KTC, HNC)
KVD = (GLG, LTF)
VPX = (LBM, LPJ)
GFN = (VBM, VBM)
JCX = (HFV, XPP)
DHR = (PVQ, KSF)
XLT = (XXF, PQR)
CKQ = (STS, SRN)
MQL = (PJM, BJL)
TLP = (GFN, PCD)
HGL = (LNC, LQT)
