on x=-8..36,y=-13..38,z=-30..18
on x=-34949..-18916,y=48964..60747,z=-65291..-40385
on x=41085..68564,y=-51507..-22592,z=-48642..-22967
on x=-61218..-38261,y=-64826..-57227,z=-40284..-2183
on x=-63449..-37989,y=-39697..-27482,z=-74092..-51129
on x=9363..31975,y=55098..78687,z=-52413..-40226
on x=-84308..-56837,y=-40246..-7996,z=-36362..-18607
on x=-72651..-66165,y=9333..15666,z=25597..51574
on x=17401..47978,y=9920..42401,z=-70754..-58041
on x=-63217..-51951,y=-12225..11075,z=44022..66562
on x=29053..49545,y=-84344..-63035,z=-6015..22142
on x=-71933..-39944,y=23397..41453,z=-51539..-33412
on x=37569..61597,y=43450..53548,z=22047..45919
on x=8968..35041,y=59910..84105,z=-52586..-33885
on x=-57379..-27352,y=-41555..-18843,z=54181..60564
off x=-14944..13704,y=-58332..-46987,z=52838..63073
on x=-73816..-53118,y=-14780..2920,z=-64505..-39848
off x=-39460..-353,y=-51496..-30749,z=46316..63357
on x=-85117..-60538,y=-36842..-15322,z=-52531..-16603
off x=7991..31176,y=-73583..-52023,z=32437..48771
off x=8515..30142,y=-77709..-62651,z=17831..46909
on x=-18303..17378,y=-21032..-6623,z=64638..88783
on x=7339..25764,y=-90496..-66449,z=-38251..-26490
off x=-70223..-46889,y=4443..35356,z=-42714..-28833
on x=-77805..-50387,y=43932..53069,z=-12411..-5379
off x=-72499..-45397,y=-53542..-41435,z=-3491..21042
on x=10885..19988,y=-41497..-7678,z=55702..84296
off x=50943..59682,y=9775..27593,z=41418..52240
on x=-5512..31721,y=74926..78902,z=-24035..-8858
on x=54750..82645,y=29855..45661,z=8586..29144
off x=-78864..-55077,y=6925..16113,z=-59924..-27087
off x=9337..38246,y=60440..66216,z=-47033..-39339
on x=-31403..-21142,y=-21908..-8535,z=-77524..-68441
off x=-48840..-15847,y=-67498..-39602,z=-67358..-37763
off x=-19834..7437,y=-20737..16009,z=-93797..-74007
off x=-61152..-39838,y=52890..67543,z=-394..22101
on x=-80448..-55372,y=1276..22349,z=-50814..-32755
off x=44370..73647,y=-55877..-35324,z=26221..47034
on x=46532..57702,y=-13840..3895,z=-69576..-50251
off x=-73517..-57384,y=31351..41680,z=15220..23322
on x=31166..41044,y=-51591..-33043,z=-75269..-52116
on x=-56761..-45567,y=-54768..-32061,z=-60838..-46237
on x=-75017..-54994,y=-28885..-27479,z=-19257..8285
off x=17363..19964,y=-1700..23699,z=65227..80609
on x=-72438..-53153,y=33395..60653,z=-27435..1947
on x=67153..86947,y=-39064..-13890,z=-24067..-7025
off x=-23935..-7756,y=54756..73703,z=-57803..-30333
on x=-94142..-68468,y=-38295..-14233,z=-2486..8555
off x=-16941..5265,y=64250..78153,z=7680..25578
off x=-96513..-66230,y=-4640..29008,z=-10817..10499
on x=-47541..-35822,y=-56040..-37593,z=25295..56913
off x=32696..49773,y=-77640..-67246,z=-32741..-2933
on x=60031..96079,y=-10285..24947,z=-23593..3651
off x=60668..82205,y=4890..26483,z=-30306..7631
off x=52550..78640,y=-65700..-48087,z=-12117..8780
off x=-30793..-2678,y=-45649..-34548,z=66170..81785
on x=3954..24104,y=-77505..-64791,z=-47133..-20347
off x=-60663..-48533,y=30758..43913,z=38074..52867
off x=29598..55875,y=62594..74543,z=-175..18742
on x=7268..15664,y=64342..81253,z=-39177..-11209
off x=50616..71417,y=-7637..-11,z=-65773..-35786
off x=-85212..-54719,y=-45697..-20353,z=-40912..-7219
off x=51683..61140,y=-16896..8191,z=56876..63036
on x=63796..81879,y=-6590..10629,z=-17826..-13338
off x=-12462..19923,y=24812..46240,z=58581..91722
off x=60238..81783,y=9597..26586,z=9422..30485
on x=-50156..-28362,y=28748..53048,z=51469..66900
off x=69194..89229,y=-1108..23127,z=25684..56099
off x=-84146..-57909,y=-17501..11445,z=30089..62555
on x=31618..49715,y=37591..62455,z=43947..51429
off x=-3586..19186,y=69304..92938,z=-20587..-9138
on x=-61199..-46598,y=35967..60395,z=-14556..4590
off x=-10913..14231,y=-30261..1009,z=-84245..-76301
off x=60186..89222,y=-3692..33740,z=-25990..-8108
on x=36727..54779,y=43724..59581,z=27937..65959
on x=31209..44945,y=42559..57599,z=39510..49135
on x=-3245..14976,y=-72819..-52510,z=36034..64484
on x=440..28782,y=-11547..4495,z=-98435..-74377
on x=-18198..10563,y=-81024..-73403,z=-17198..5796
on x=12612..21502,y=-51647..-31132,z=-59647..-51386
on x=29495..52571,y=11017..19714,z=46828..68700
on x=9809..37561,y=-30853..-19860,z=-83128..-60062
off x=67691..79085,y=-31154..3105,z=-37577..-17350
on x=72836..97051,y=-31514..-15790,z=-29704..1797
on x=-87609..-69341,y=-18788..-2505,z=-12297..-10409
on x=20443..43548,y=-62320..-37522,z=38977..60544
off x=-38964..-26257,y=58268..79198,z=22960..47406
on x=-73221..-48099,y=-41579..-12744,z=41233..55998
on x=39815..61968,y=-25816..2853,z=-84604..-48176
off x=43328..47847,y=50145..81706,z=-20854..-17930
on x=42026..55667,y=2815..18320,z=-71420..-56114
on x=-15046..7093,y=-2067..6846,z=-87205..-62415
off x=-47170..-12892,y=-70768..-49876,z=15359..40080
off x=-2457..10461,y=30411..42007,z=-81116..-70962
off x=52522..85711,y=-59582..-35527,z=-16966..8482
on x=-46197..-25909,y=47222..78261,z=-50850..-32047
off x=19590..34572,y=72339..87567,z=-5750..28633
off x=47115..83953,y=-18319..-1527,z=36796..53774
off x=-83826..-54856,y=-42413..-32997,z=3733..27276
on x=-56233..-44250,y=49602..74071,z=22314..30759
off x=63420..86367,y=-10839..17688,z=-58166..-41413
off x=-52818..-25004,y=30897..65041,z=34334..65736
off x=-37943..-1255,y=-31595..-17688,z=-79911..-66116
off x=-53072..-34686,y=-74173..-48306,z=29767..56394
on x=-52788..-31825,y=-32369..-19858,z=48905..63632
on x=-1350..29555,y=-19635..-7074,z=-87305..-65879
off x=-20803..-15829,y=21850..48686,z=-81910..-49506
off x=6419..36337,y=-72720..-64997,z=9779..35669
on x=-27678..-5611,y=-63057..-58292,z=-49298..-38857
on x=-25232..-8560,y=-36175..-7964,z=-79251..-62089
on x=3484..8094,y=60295..74830,z=19467..40876
on x=25344..49707,y=55996..61107,z=27573..40860
off x=47919..70340,y=-21803..-8394,z=-48605..-36363
off x=-46037..-33978,y=47245..79330,z=-37903..-25173
off x=-71914..-46814,y=2394..17414,z=-64968..-46103
on x=19065..32293,y=-81832..-70280,z=-14026..1070
off x=-38512..-31573,y=47413..61535,z=37582..62106
on x=48305..70579,y=-62027..-50478,z=-15171..1424
off x=-75249..-57569,y=-35309..-10651,z=33081..55723
on x=25348..44691,y=-63608..-38147,z=40069..50336
off x=29076..42828,y=43230..71477,z=-50728..-30676
off x=-79502..-64190,y=-38572..-26384,z=-15092..12199
on x=-23179..-7624,y=48807..73012,z=33610..40354
on x=-3592..8389,y=60961..82397,z=-49081..-28054
off x=51476..83453,y=28705..56528,z=-12926..1967
on x=-27187..-19195,y=-82395..-52994,z=21622..43848
off x=-90506..-68537,y=-9823..6672,z=26454..41372
off x=44140..77814,y=-53839..-33067,z=19437..52037
off x=70486..89103,y=-32008..-18702,z=-30582..-3135
off x=9812..37159,y=-13683..5581,z=67454..90785
on x=55516..76011,y=29943..54363,z=-35505..-8311
on x=18107..53089,y=40166..76403,z=-46033..-31026
on x=-44076..-28970,y=-69649..-38867,z=31937..54687
off x=-6903..6265,y=-92551..-76965,z=10824..29131
off x=-73096..-47990,y=-40737..-12561,z=-56032..-37870
off x=-69834..-46771,y=-11406..9831,z=-70442..-38701
off x=-63167..-28547,y=-2453..13753,z=-73159..-51770
off x=-12546..-4517,y=-90466..-67177,z=-45521..-19870
on x=-29818..-1746,y=50057..67629,z=41692..53982
on x=-84294..-59113,y=33649..49960,z=-514..23937
off x=-57940..-53375,y=17137..29536,z=-66645..-34791
on x=-45417..-13403,y=-22323..12972,z=56661..78987
on x=37008..53186,y=-52723..-32702,z=-81286..-61118
off x=62401..92686,y=-32370..-8632,z=3648..32213
on x=46130..54088,y=12139..21408,z=60375..72557
on x=-78284..-60622,y=-60558..-34232,z=3228..21753
off x=-26367..-17693,y=-44140..-38359,z=-76315..-54921
on x=-50778..-25901,y=-62396..-47707,z=-46585..-24121
on x=-31891..-7439,y=-38110..-6297,z=-83562..-54313
on x=53088..73992,y=-40054..-10359,z=37676..54496
off x=16508..40245,y=-62074..-36376,z=-71638..-56256
off x=41517..56789,y=31056..37033,z=41339..66625
off x=-70827..-68212,y=7248..41853,z=-32734..-16519
off x=32333..52847,y=-89957..-62307,z=-5050..6149
off x=-17149..-10468,y=-32928..-9851,z=56537..82605
on x=-84541..-54098,y=-58633..-36289,z=-12748..2668
on x=38782..73823,y=-47393..-38721,z=16744..50416
off x=39068..59022,y=21209..55515,z=34421..52108
on x=-71216..-46104,y=-73471..-55003,z=-37496..-2060
off x=-42432..-23889,y=-86804..-68846,z=-3653..23244
off x=-16056..17364,y=-72921..-54772,z=-40563..-21696
off x=-25993..-10482,y=18139..45085,z=-86836..-55465
off x=-6145..6154,y=15388..23210,z=-89142..-68482
on x=46085..67991,y=-73185..-44337,z=-45070..-27405
on x=65191..77310,y=644..12100,z=6335..26349
on x=61530..80630,y=33572..40611,z=3139..25295
off x=-22306..-1057,y=-64514..-54752,z=50646..59125
off x=-31245..428,y=-69703..-42002,z=33460..67700
off x=18783..26105,y=57879..76612,z=-46736..-17226
on x=65144..85202,y=-34414..-9442,z=-15694..-3293
on x=-30025..-19969,y=2384..18772,z=-85674..-56255
on x=-21671..-1706,y=-88695..-66277,z=-32871..-31219
off x=41938..56563,y=36056..55655,z=29417..39627
off x=-35141..-13943,y=51556..73844,z=12868..28552
off x=-62811..-35918,y=-44104..-21236,z=35127..62940
on x=62916..82143,y=7866..27555,z=17805..50739
on x=29498..66404,y=-38144..-7002,z=52432..62757
off x=-40743..-17461,y=-3977..27203,z=-82649..-69934
on x=61462..87066,y=-29424..1075,z=-53444..-28127
off x=-20296..755,y=-68543..-34376,z=45810..71640
off x=-69466..-36179,y=-62860..-52547,z=-31500..-5258
off x=44866..53371,y=-24236..-6665,z=-73108..-53122
off x=-79007..-53057,y=-17042..5274,z=22078..36248
off x=-57167..-28268,y=-51111..-32915,z=-77704..-38825
off x=-4958..9484,y=5801..13607,z=74030..98668
on x=-35563..-13589,y=42209..54631,z=44769..75384
off x=-60812..-37640,y=-63777..-55796,z=24372..34208
off x=-46941..-16156,y=-36595..-17426,z=-79732..-64679
on x=-59888..-28115,y=12521..32347,z=-78750..-58674
on x=72376..82684,y=4253..30848,z=-40351..-9522
off x=-32933..-1254,y=-75313..-57763,z=-49186..-39785
on x=23434..55093,y=46836..66125,z=36750..49491
on x=-46482..-28852,y=-3093..26488,z=52024..72731
on x=43735..78088,y=-44597..-11422,z=-45272..-31611
off x=9842..13060,y=-32334..-18544,z=-81402..-71916
on x=4162..7921,y=-99019..-65156,z=-19030..4628
on x=54190..69481,y=-597..28621,z=-39799..-25080
off x=41810..71069,y=-60566..-49113,z=-28756..-6676
off x=-79628..-67314,y=-10495..9141,z=-1753..22526
on x=-80854..-54338,y=-47067..-35714,z=-41157..-4068
off x=7961..36511,y=-68928..-39346,z=42154..66633
on x=55071..86104,y=-26491..-12993,z=35080..46483
on x=16937..38277,y=45614..76853,z=-68179..-32041
on x=-59142..-45042,y=-44541..-15747,z=38408..54791
on x=-8928..11676,y=-46464..-33539,z=-75322..-62649
on x=-25001..-1799,y=60438..82665,z=-6409..20165
on x=-73110..-45573,y=-56868..-33358,z=8495..25515
on x=-1691..18521,y=60075..85944,z=-2617..10836
off x=17339..45519,y=46033..72006,z=37649..43076
off x=-79475..-70079,y=3154..12209,z=-24437..-12055
off x=46696..52595,y=-51367..-22325,z=-49480..-29533
off x=45715..64763,y=-22780..-16581,z=-78193..-55110
off x=-16579..2489,y=-64160..-54806,z=41992..63536
off x=-55417..-30493,y=-88205..-51837,z=-3486..19240
off x=-77740..-75400,y=-16116..7915,z=-31057..-18206
